"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JhodieBernardo: Rest in peace....
Miriam Defensor-Santiago",FALSE,0,NA,2016-10-17 23:51:14,FALSE,NA,"788165507102965760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cyruscruzat6",1,TRUE,FALSE,NA,NA
"2","RT @natjmd: Unseen pictures of the late Miriam Defensor Santiago. https://t.co/KfePy5yRIv",FALSE,0,NA,2016-10-17 16:36:00,FALSE,NA,"788055977161392128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","insideskulls",3,TRUE,FALSE,NA,NA
"3","RT @DocBIENevolent: A great leader has been transformed into a star to shine for all eternity. RIP Miriam Defensor Santiago",FALSE,0,NA,2016-10-17 15:03:59,FALSE,NA,"788032819599728640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","donnber2nerts",8,TRUE,FALSE,NA,NA
"4","RT @CodiapitMarcela: Retweeted Manila Bulletin News (@manila_bulletin):

Sen. Miriam Defensor Santiago, an original and a maverick... https‚Ä¶",FALSE,0,NA,2016-10-17 13:51:02,FALSE,NA,"788014461932089344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnvicsee",1,TRUE,FALSE,NA,NA
"5","I remember right after the 1992 elections, Sen. Miriam Defensor Santiago visited USAHS and told us during her... https://t.co/W4L5Z7Mu9G",FALSE,0,NA,2016-10-17 13:42:36,FALSE,NA,"788012339454803968",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","RheaPenaflor",0,FALSE,FALSE,NA,NA
"6","RT @natjmd: Unseen pictures of the late Miriam Defensor Santiago. https://t.co/KfePy5yRIv",FALSE,0,NA,2016-10-17 13:31:58,FALSE,NA,"788009661731516416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ughenya",3,TRUE,FALSE,NA,NA
"7","RT @natjmd: Unseen pictures of the late Miriam Defensor Santiago. https://t.co/KfePy5yRIv",FALSE,0,NA,2016-10-17 13:09:18,FALSE,NA,"788003957066969088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yungbeyance",3,TRUE,FALSE,NA,NA
"8","Unseen pictures of the late Miriam Defensor Santiago. https://t.co/KfePy5yRIv",FALSE,3,NA,2016-10-17 13:06:46,FALSE,NA,"788003318639398912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","natjmd",3,FALSE,FALSE,NA,NA
"9","""The problem with the argument based on God is that it is the last resort of the bad debater.""
- Miriam Defensor-Santiago
#PassADB ‚ù§Ô∏èÌ†ΩÌ≤õÌ†ΩÌ≤öÌ†ΩÌ≤ôÌ†ΩÌ≤ú",FALSE,2,NA,2016-10-17 11:48:49,FALSE,NA,"787983704027041792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","regvromero",0,FALSE,FALSE,NA,NA
"10","RT @inquirerdotnet: .@senmiriam: ""Some people are like  cancer cells."" 

#RIPMiriam https://t.co/kxo08aAZXl https://t.co/XwLM3jk7JU",FALSE,0,NA,2016-10-17 09:27:47,FALSE,NA,"787948212447432704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bitara_jinky",310,TRUE,FALSE,NA,NA
"11","Life &amp; Death of Miriam Defensor-Santiago: https://t.co/Ar92HwkT4X via @YouTube",FALSE,1,NA,2016-10-17 06:28:36,FALSE,NA,"787903119837503488",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","megbernardo",0,FALSE,FALSE,NA,NA
"12","I added a video to a @YouTube playlist https://t.co/Ar92HwkT4X Life &amp; Death of Miriam Defensor-Santiago",FALSE,1,NA,2016-10-17 06:16:22,FALSE,NA,"787900039687471104",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","megbernardo",0,FALSE,FALSE,NA,NA
"13","I cannot remember when exactly I had this dream, but I had it nonetheless:
I visited the graves of Cory Aquino and Miriam Defensor Santiago.",FALSE,0,NA,2016-10-17 05:37:23,FALSE,NA,"787890228493254656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","karlmerc",0,FALSE,FALSE,NA,NA
"14","Retweeted Manila Bulletin News (@manila_bulletin):

Sen. Miriam Defensor Santiago, an original and a maverick... https://t.co/sy8ONYrG1F",FALSE,1,NA,2016-10-17 04:48:14,FALSE,NA,"787877860673409024",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","CodiapitMarcela",1,FALSE,FALSE,NA,NA
"15","RT @manila_bulletin: Sen. Miriam Defensor Santiago, an original and a maverick (1945-2016) - Read: https://t.co/yUscQ0bCKn #BeFullyInformed",FALSE,0,NA,2016-10-17 04:48:10,FALSE,NA,"787877843523043328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CodiapitMarcela",6,TRUE,FALSE,NA,NA
"16","RT @manila_bulletin: Sen. Miriam Defensor Santiago, an original and a maverick (1945-2016) - Read: https://t.co/yUscQ0bCKn #BeFullyInformed",FALSE,0,NA,2016-10-17 02:42:11,FALSE,NA,"787846139680657408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","masheils",6,TRUE,FALSE,NA,NA
"17","RT @manila_bulletin: Sen. Miriam Defensor Santiago, an original and a maverick (1945-2016) - Read: https://t.co/yUscQ0bCKn #BeFullyInformed",FALSE,0,NA,2016-10-17 01:39:29,FALSE,NA,"787830361300414464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrREsguerra20",6,TRUE,FALSE,NA,NA
"18","RT @manila_bulletin: Sen. Miriam Defensor Santiago, an original and a maverick (1945-2016) - Read: https://t.co/yUscQ0bCKn #BeFullyInformed",FALSE,0,NA,2016-10-17 01:37:27,FALSE,NA,"787829846889988098",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kotawinters",6,TRUE,FALSE,NA,NA
"19","RT @manila_bulletin: Sen. Miriam Defensor Santiago, an original and a maverick (1945-2016) - Read: https://t.co/yUscQ0bCKn #BeFullyInformed",FALSE,0,NA,2016-10-17 01:36:40,FALSE,NA,"787829650588250112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","va_nisher",6,TRUE,FALSE,NA,NA
