"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Women Are Reclaiming Their Nastiness After Trump Debate Comment https://t.co/SrqbBroUcr",FALSE,0,NA,2016-10-20 09:38:07,FALSE,NA,"789037973580816384",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","SheRidesWestMI",0,FALSE,FALSE,NA,NA
"2","RT @MattWalshBlog: Debate grades: 

Trump: Awful
Clinton: Abysmal
Moderator: Pretty good
Putin: Flattered
Primary voters: Idiots
Our childr<U+2026>",FALSE,0,NA,2016-10-20 09:38:07,FALSE,NA,"789037972993769472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clarkincnet",632,TRUE,FALSE,NA,NA
"3","RT @CNN: ""You can't polish this turd"": @VanJones68 on Trump possibly not accepting election results https://t.co/ltir09LGJG https://t.co/V6<U+2026>",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037972695941120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","divinemisterd",508,TRUE,FALSE,NA,NA
"4","RT @JudgeJeanine: Peaceful transition? Does anyone remember bush v gore?  Gore's the one who pursued Florida recount!! So dems can sue but<U+2026>",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037972356235264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","perubear7",1945,TRUE,FALSE,NA,NA
"5","RT @DefendingtheUSA: #HillaryClinton did NOT EVEN TRY TO DENY sending out people to cause VIOLENCE at Trump Rallies since EXPOSED by #Proje<U+2026>",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037972284928000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spiderella79",245,TRUE,FALSE,NA,NA
"6","RT @meganamram: Trump speaks like he's trying to add words to make an essay longer",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037971861278720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glitlz",3991,TRUE,FALSE,NA,NA
"7","RT @PolitiFact: NEW TONIGHT: Trump says State Dept. lost $6 billion under Clinton. Pants On Fire! https://t.co/FQgEoYivDe https://t.co/Xjeh<U+2026>",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037971525730304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tracy_Mack",390,TRUE,FALSE,NA,NA
"8","RT @AnneClaireCNN: Trump in 2008: Hillary Clinton will 'go down at a minimum as a great senator'. @KFILE #Debatenight  https://t.co/aXetezc<U+2026>",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037971437604864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reetagarg5",33,TRUE,FALSE,NA,NA
"9","RT @TheFoodLab: This is a letter from George W.H. Bush to Bill Clinton when Bush lost the election in 1992. Trump, take note: This is why d<U+2026>",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037971294916608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baltomel",96,TRUE,FALSE,NA,NA
"10","RT @HillaryClinton: ""Nobody respects women more than me."" <U+2014>Donald Trump earlier tonight

""Such a nasty woman."" <U+2014>Donald Trump just now #Deba<U+2026>",FALSE,0,NA,2016-10-20 09:38:06,FALSE,NA,"789037971219460097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paigeisaplant",50437,TRUE,FALSE,NA,NA
